"n_distributor_id","name","vdt","vno","items"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106255,"28050_,41786_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106256,"28604_,37121_,37687_,17932_,16973_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106257,"4691_,42824_,35906_,38473_,28393_,31354_,26187_,674_,6849_,15766_,10509_,14352_,37299_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106258,"36690_,22021_,3208_,1982_,5372_,3958_,3750_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106259,"21049_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106260,"23869_,5452_,11806_,4929_,5237_,3694_,30621_,40492_,34750_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106261,"30831_,37057_,36169_,8783_,16368_,40899_,11775_,22434_,9437_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106262,"16473_,41153_,36292_,36670_,14436_,22719_,14298_,3699_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106263,"41017_,30486_,40492_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106264,"14217_,6072_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106265,"32079_,25750_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106266,"4856_,3396_,41614_,1002_,14333_,22040_,39283_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106267,"37117_,23908_,5452_,26491_,33889_,20571_,34506_,40708_,5842_,3165_,18597_,13953_,40802_,4774_,2926_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106268,"21063_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106269,"10516_,10085_,30727_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106270,"18990_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106271,"41074_,33117_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106272,"32113_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106273,"36956_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106274,"4686_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106275,"4686_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106276,"30639_,14331_,38033_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106277,"42103_,40645_,31120_,4038_,36361_,41368_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106278,"15131_,40662_,21721_,25942_,13132_,35413_,2660_,2626_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106279,"14209_,21682_,1424_,41703_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106280,"5838_,3558_,39228_,21268_,31923_,26189_,26187_,11164_,37593_,32428_,33167_,28172_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106281,"11035_,5372_,21319_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106282,"27337_,20358_,36709_,40612_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106283,"21337_,18578_,3259_,25911_,18162_,10023_,22822_,21004_,27410_,12386_,20509_,882_,28529_,28482_,10297_,10543_,12626_,10048_,7700_,4975_,5112_,28392_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106284,"34506_,38557_,26190_,497_,36709_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106285,"6277_,28393_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106286,"3884_,36646_,39228_,3434_,32055_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106287,"35812_,42644_,37582_,27410_,9077_,19332_,25947_,40711_,2622_,495_,23309_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106288,"13834_,28353_,10274_,28371_,4064_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106289,"28372_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106290,"40476_,36709_,12980_,38643_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106291,"31028_,31546_,37617_,31570_,33950_,32595_,35781_,38558_,37739_,32508_,34788_,31145_,30768_,30730_,34416_,36606_,36670_,37696_,32100_,30148_,33898_,31443_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106292,"40256_,40913_,41767_,41960_,39695_,40655_,40917_,39341_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106293,"2633_,24689_,22626_,29734_,23765_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106294,"1420_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106295,"1420_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106296,"1420_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106297,"8421_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106298,"14298_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106299,"26372_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106300,"7631_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106301,"18814_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106302,"6277_,28361_,14446_,6612_,32055_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106303,"29783_,35743_,26872_,32990_,33000_,24926_,37593_,33170_,31223_,32982_,37701_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106304,"31017_,20742_,34561_,12492_,3259_,37688_,2871_,27537_,21383_,26187_,27410_,8192_,19923_,10936_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106305,"38766_,12264_,30577_,38764_,2642_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106306,"36674_,27532_,11189_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106307,"17566_,6574_,9917_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106308,"27960_,3822_,9098_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106309,"30573_,5421_,1002_,39267_,41414_,11736_,26174_,38248_,26448_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106310,"32557_,3291_,23361_,2153_,19902_,9664_,2872_,19354_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106311,"3172_,4861_,41965_,15077_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106312,"15196_,32965_,32017_,8212_,28730_,33896_,18658_,6073_,22703_,9477_,3353_,9757_,26673_,30226_,14446_,28762_,22934_,8211_,37728_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106313,"35253_,5716_,16316_,10109_,20124_,6771_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106314,"38767_,24263_,36287_,165_,3694_,32982_,32898_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106315,"28765_,16895_,18289_,11806_,3200_,36109_,25959_,8783_,32725_,12925_,39296_,36664_,35955_,35840_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106316,"27828_,4125_,14056_,26665_,20659_,32069_,1991_,18473_,2614_,12166_,28327_,32725_,4969_,11742_,10110_,26213_,10203_,5865_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106317,"36625_,33985_,34506_,34174_,40749_,41846_,39633_,41368_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106318,"26882_,28523_,26665_,20509_,11583_,41703_,33183_"
