Row Labels,Count of Current Location,,,Rank,Frequency
madhuranthakam,1,,,207,1
parikkal,1,,,208,1
Madurantakam,1,,,209,1
Patiala,1,,,210,1
vedharaniyam,1,,,211,1
Pattukkottai,1,,,212,1
Villathikulam Taluk,1,,,213,1
pazhani,1,,,214,1
villupuram distik,1,,,215,1
ambattur,1,,,216,1
mayiladhurai,1,,,217,1
VIRUDHUNAGER,1,,,218,1
"srivilliputtur,virudhunag",1,,,219,1
viruthunager,1,,,220,1
Surat,1,,,221,1
perundurai,1,,,222,1
Tambaram,1,,,223,1
GOBICHETTIPALAYAM,1,,,224,1
"Koothiparai, Virudhunagar",1,,,225,1
Gudallur,1,,,226,1
thanjhavur,1,,,227,1
"polur,tiruvannamalai dt",1,,,228,1
thirucadaiyur,1,,,229,1
gudalur,1,,,230,1
DIDUGUL,1,,,231,1
pondy,1,,,232,1
thirupattur,1,,,233,1
kilakkarai,1,,,234,1
Thiruppur,1,,,235,1
pudhucherry,1,,,236,1
Kulasekharam,1,,,237,1
Gudiyattam,1,,,238,1
Kumarachithanpatti,1,,,239,1
puduckkottai,1,,,240,1
Kaliakkavilai,1,,,241,1
PUDUDKOTTAI,1,,,242,1
bhadrak,1,,,243,1
"Avadi, Chennai",1,,,244,1
"cheyyar, T.V.Malai,Dt.",1,,,245,1
Gumidipoondi,1,,,246,1
THOOTHUKUDI-DT,1,,,247,1
puthur,1,,,248,1
dharapuram,1,,,249,1
Avinashi,1,,,250,1
kalugumalai,1,,,251,1
ANDIMADAM,1,,,252,1
"Arakkonam, Vellore",1,,,253,1
haridwar,1,,,254,1
"Tirukovilur,villupuram di",1,,,255,1
Ramanathapuram Dist.,1,,,256,1
kanayakumari,1,,,257,1
Ramanathapuram.,1,,,258,1
TIRUPATTUR IN VELLORE DIS,1,,,259,1
Ramanthapuram,1,,,260,1
chinnababusamudhiram,1,,,261,1
karikkali,1,,,262,1
tiruvallore,1,,,263,1
"cuddalore,pondy",1,,,264,1
"Tiruvallur,chennai",1,,,265,1
ramnadu,1,,,266,1
tiruvanna malai dt,1,,,267,1
