,predicted_mean
2023-02-15,112.51846684431118
2023-02-16,110.13031541511526
2023-02-17,110.41375840338215
2023-02-18,115.09499667031422
2023-02-19,61.16534394410636
2023-02-20,111.3580410937966
2023-02-21,112.48864578870123
2023-02-22,116.54242665583203
2023-02-23,110.94017871648245
2023-02-24,113.04951971675997
2023-02-25,117.88741902758503
2023-02-26,61.73564277318604
2023-02-27,113.6544683044236
2023-02-28,115.02817750185338
2023-03-01,118.4171555997702
2023-03-02,113.36793735455555
2023-03-03,115.14012112874904
2023-03-04,120.06175037261931
2023-03-05,63.05935038731791
2023-03-06,115.83279970006122
2023-03-07,117.1871985901838
2023-03-08,120.79466434269406
2023-03-09,115.51166623680693
2023-03-10,117.39589480004317
2023-03-11,122.41507031936352
2023-03-12,64.25739752787895
2023-03-13,118.08640685838355
2023-03-14,119.4765204978509
2023-03-15,123.12268325684435
2023-03-16,117.76499950184878
2023-03-17,119.669876817766
2023-03-18,124.78604515205035
